"ID"	"Gene.symbol"	"Gene.title"	"log2(fold change)(T vs B)"	"-log10(Pvalue)(T vs B)"
"1556114_a_at"	"LOC101928841"	"collagen alpha-1(II) chain-like"	-3.118	3.507
"1556402_at"			3.851	3.461
"1556579_s_at"	"IGSF10"	"immunoglobulin superfamily member 10"	3.348	4.505
"1557411_s_at"	"SLC25A43"	"solute carrier family 25 member 43"	-4.5	3.988
"1557856_at"			-2.863	4.044
"1558105_a_at"	"SLC9A7"	"solute carrier family 9 member A7"	-2.657	4.124
"1558124_at"	"NUDCD2"	"NudC domain containing 2"	2.478	3.954
"1558315_s_at"	"HOOK3"	"hook microtubule tethering protein 3"	-2.844	3.61
"1558662_s_at"	"BANK1"	"B-cell scaffold protein with ankyrin repeats 1"	-6.346	5.671
"1559051_s_at"	"MB21D1"	"Mab-21 domain containing 1"	-3.654	5.007
"1559097_at"	"LINC01550"	"long intergenic non-protein coding RNA 1550"	4.135	4.084
"1559221_at"	"LINC01013"	"long intergenic non-protein coding RNA 1013"	-3.914	4.894
"1559263_s_at"	"ZC3H12D"	"zinc finger CCCH-type containing 12D"	-3.545	5.783
"1559276_at"	"PCAT18"	"prostate cancer associated transcript 18 (non-protein coding)"	5.614	4.409
"1559864_at"	"LCN6"	"lipocalin 6"	-2.926	3.341
"1560989_at"			-3.011	3.577
"1561737_at"			-5.454	6.12
"1562473_at"			7.21	8.284
"1562984_at"	"LOC101928937"	"uncharacterized LOC101928937"	-2.038	3.519
"1563209_a_at"	"MACROD2"	"MACRO domain containing 2"	-6.064	7.098
"1564169_at"	"LOC101928519"	"uncharacterized LOC101928519"	-3.061	4.463
"1564936_at"			2.885	5.169
"1564970_at"	"SETDB2"	"SET domain bifurcated 2"	-3.97	3.806
"1565628_at"	"LRRK1"	"leucine rich repeat kinase 1"	-3.24	4.468
"1568955_at"	"SRGAP2C///SRGAP2B///SRGAP2"	"SLIT-ROBO Rho GTPase activating protein 2C///SLIT-ROBO Rho GTPase activating protein 2B///SLIT-ROBO Rho GTPase activating protein 2"	-2.795	5.626
"1568957_x_at"	"SRGAP2C///SRGAP2B///SRGAP2"	"SLIT-ROBO Rho GTPase activating protein 2C///SLIT-ROBO Rho GTPase activating protein 2B///SLIT-ROBO Rho GTPase activating protein 2"	-2.03	4.613
"1569034_a_at"	"LOC440864///MSH6"	"uncharacterized LOC440864///mutS homolog 6"	-4.144	3.842
"1570152_at"			-2.946	3.656
"1570412_at"			3.949	4.5
"200770_s_at"	"LAMC1"	"laminin subunit gamma 1"	-2.298	3.408
"200771_at"	"LAMC1"	"laminin subunit gamma 1"	-3.928	4.646
"200832_s_at"	"SCD"	"stearoyl-CoA desaturase"	4.949	4.916
"201005_at"	"CD9"	"CD9 molecule"	-5.67	4.406
"201015_s_at"	"JUP"	"junction plakoglobin"	-4.069	5.851
"201060_x_at"	"STOM"	"stomatin"	-2.593	3.519
"201061_s_at"	"STOM"	"stomatin"	-2.408	3.428
"201137_s_at"	"HLA-DPB1"	"major histocompatibility complex, class II, DP beta 1"	-4.132	4.828
"201140_s_at"	"RAB5C"	"RAB5C, member RAS oncogene family"	-2.181	3.842
"201162_at"	"IGFBP7"	"insulin like growth factor binding protein 7"	-5.458	3.271
"201194_at"	"SEPW1"	"selenoprotein W, 1"	2.822	3.321
"201218_at"	"CTBP2"	"C-terminal binding protein 2"	-3.574	4.372
"201219_at"	"CTBP2"	"C-terminal binding protein 2"	-2.951	4.211
"201220_x_at"	"CTBP2"	"C-terminal binding protein 2"	-2.983	3.959
"201313_at"	"ENO2"	"enolase 2"	4.133	3.753
"201565_s_at"	"ID2"	"inhibitor of DNA binding 2, HLH protein"	-2.93	3.508
"201646_at"	"SCARB2"	"scavenger receptor class B member 2"	-2.36	3.821
"201647_s_at"	"SCARB2"	"scavenger receptor class B member 2"	-2.666	5.261
"201720_s_at"	"LAPTM5"	"lysosomal protein transmembrane 5"	-2.221	4.72
"201721_s_at"	"LAPTM5"	"lysosomal protein transmembrane 5"	-1.83	4.838
"201809_s_at"	"ENG"	"endoglin"	-4.287	3.896
"201976_s_at"	"MYO10"	"myosin X"	-3.083	3.27
"201999_s_at"	"DYNLT1"	"dynein light chain Tctex-type 1"	-2.011	3.852
"202080_s_at"	"TRAK1"	"trafficking kinesin protein 1"	-2.318	3.846
"202113_s_at"	"SNX2"	"sorting nexin 2"	-3.167	8.052
"202114_at"	"SNX2"	"sorting nexin 2"	-2.537	6.533
"202284_s_at"	"CDKN1A"	"cyclin dependent kinase inhibitor 1A"	-3.853	4.648
"202382_s_at"	"GNPDA1"	"glucosamine-6-phosphate deaminase 1"	4.743	3.976
"202425_x_at"	"PPP3CA"	"protein phosphatase 3 catalytic subunit alpha"	-3.263	5.712
"202429_s_at"	"PPP3CA"	"protein phosphatase 3 catalytic subunit alpha"	-4.053	6.484
"202457_s_at"	"PPP3CA"	"protein phosphatase 3 catalytic subunit alpha"	-4.033	6.611
"202598_at"	"S100A13"	"S100 calcium binding protein A13"	-3.066	4.619
"202660_at"	"ITPR2"	"inositol 1,4,5-trisphosphate receptor type 2"	1.927	3.27
"202711_at"	"EFNB1"	"ephrin B1"	-2.495	3.443
"202723_s_at"	"FOXO1"	"forkhead box O1"	-4.227	5.409
"202724_s_at"	"FOXO1"	"forkhead box O1"	-3.182	4.76
"202743_at"	"PIK3R3"	"phosphoinositide-3-kinase regulatory subunit 3"	2.361	4.151
"202789_at"	"PLCG1"	"phospholipase C gamma 1"	2.685	4.032
"202804_at"	"ABCC1"	"ATP binding cassette subfamily C member 1"	1.738	3.708
"203066_at"	"CHST15"	"carbohydrate (N-acetylgalactosamine 4-sulfate 6-O) sulfotransferase 15"	-4.982	5.978
"203144_s_at"	"KIAA0040"	"KIAA0040"	-1.928	3.472
"203182_s_at"	"SRPK2"	"SRSF protein kinase 2"	1.796	3.922
"203244_at"	"PEX5"	"peroxisomal biogenesis factor 5"	2.306	4.805
"203354_s_at"	"PSD3"	"pleckstrin and Sec7 domain containing 3"	-4.904	3.59
"203355_s_at"	"PSD3"	"pleckstrin and Sec7 domain containing 3"	-5.703	6.547
"203556_at"	"ZHX2"	"zinc fingers and homeoboxes 2"	-2.081	4.196
"203603_s_at"	"ZEB2"	"zinc finger E-box binding homeobox 2"	-3.374	3.572
"203708_at"	"PDE4B"	"phosphodiesterase 4B"	-5.327	3.774
"203735_x_at"	"PPFIBP1"	"PPFIA binding protein 1"	-2.495	3.282
"203736_s_at"	"PPFIBP1"	"PPFIA binding protein 1"	-2.88	3.602
"203767_s_at"	"STS"	"steroid sulfatase (microsomal), isozyme S"	-2.069	3.617
"203768_s_at"	"STS"	"steroid sulfatase (microsomal), isozyme S"	-2.105	3.369
"203821_at"	"HBEGF"	"heparin binding EGF like growth factor"	-3.755	3.451
"203828_s_at"	"IL32"	"interleukin 32"	5.702	6.152
"203836_s_at"	"MAP3K5"	"mitogen-activated protein kinase kinase kinase 5"	-3.725	4.197
"203837_at"	"MAP3K5"	"mitogen-activated protein kinase kinase kinase 5"	-2.88	3.775
"203869_at"	"USP46"	"ubiquitin specific peptidase 46"	-2.838	3.421
"203917_at"	"CXADR"	"coxsackie virus and adenovirus receptor"	4.037	3.583
"203932_at"	"HLA-DMB"	"major histocompatibility complex, class II, DM beta"	-3.202	3.861
"203997_at"	"PTPN3"	"protein tyrosine phosphatase, non-receptor type 3"	3.001	3.423
"204061_at"	"PRKX"	"protein kinase, X-linked"	-2.145	3.544
"204164_at"	"SIPA1"	"signal-induced proliferation-associated 1"	-2.788	5.09
"204214_s_at"	"RAB32"	"RAB32, member RAS oncogene family"	4.665	6.705
"204319_s_at"	"RGS10"	"regulator of G-protein signaling 10"	3.336	5.212
"204430_s_at"	"SLC2A5"	"solute carrier family 2 member 5"	-4.303	4.249
"204482_at"	"CLDN5"	"claudin 5"	4.729	5.645
"204497_at"	"ADCY9"	"adenylate cyclase 9"	-3.52	3.347
"204529_s_at"	"TOX"	"thymocyte selection associated high mobility group box"	3.194	3.416
"204581_at"	"CD22"	"CD22 molecule"	-4.706	4.923
"204604_at"	"CDK14"	"cyclin dependent kinase 14"	-5.102	5.413
"204613_at"	"PLCG2"	"phospholipase C gamma 2"	-2.05	4.013
"204639_at"	"ADA"	"adenosine deaminase"	1.998	4.064
"204670_x_at"	"LOC100996809///HLA-DRB4///HLA-DRB1"	"HLA class II histocompatibility antigen, DRB1-10 beta chain-like///major histocompatibility complex, class II, DR beta 4///major histocompatibility complex, class II, DR beta 1"	-4.659	6.698
"204718_at"	"EPHB6"	"EPH receptor B6"	4.85	5.54
"204777_s_at"	"MAL"	"mal, T-cell differentiation protein"	6.581	3.774
"204890_s_at"	"LCK"	"LCK proto-oncogene, Src family tyrosine kinase"	5.002	4.403
"204891_s_at"	"LCK"	"LCK proto-oncogene, Src family tyrosine kinase"	5.366	4.467
"204936_at"	"MAP4K2"	"mitogen-activated protein kinase kinase kinase kinase 2"	-4.234	6.838
"205008_s_at"	"CIB2"	"calcium and integrin binding family member 2"	4.226	5.91
"205018_s_at"	"MBNL2"	"muscleblind like splicing regulator 2"	-2.55	3.617
"205049_s_at"	"CD79A"	"CD79a molecule"	-3.359	3.839
"205101_at"	"CIITA"	"class II major histocompatibility complex transactivator"	-5.606	6.604
"205104_at"	"SNPH"	"syntaphilin"	2.637	4.747
"205212_s_at"	"ACAP1"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"	1.846	3.278
"205254_x_at"	"TCF7"	"transcription factor 7 (T-cell specific, HMG-box)"	4.425	3.466
"205255_x_at"	"TCF7"	"transcription factor 7 (T-cell specific, HMG-box)"	4.023	4.038
"205262_at"	"KCNH2"	"potassium voltage-gated channel subfamily H member 2"	2.762	3.606
"205297_s_at"	"CD79B"	"CD79b molecule"	-3.763	5.309
"205456_at"	"CD3E"	"CD3e molecule"	4.068	7.548
"205504_at"	"BTK"	"Bruton tyrosine kinase"	-4.707	6.71
"205830_at"	"CLGN"	"calmegin"	5.221	3.548
"205859_at"	"LY86"	"lymphocyte antigen 86"	-3.131	5.254
"205994_at"	"ELK4"	"ELK4, ETS transcription factor"	-2.386	4.732
"206082_at"	"HCP5"	"HLA complex P5 (non-protein coding)"	-3.104	3.311
"206100_at"	"CPM"	"carboxypeptidase M"	-5.463	3.583
"206148_at"	"IL3RA"	"interleukin 3 receptor subunit alpha"	-3.758	3.395
"206190_at"	"GPR17"	"G protein-coupled receptor 17"	4.886	5.717
"206398_s_at"	"CD19"	"CD19 molecule"	-6.741	11.049
"206414_s_at"	"ASAP2"	"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2"	-3.6	4.446
"206460_at"	"AJAP1"	"adherens junctions associated protein 1"	4.943	4.917
"206465_at"	"ACSBG1"	"acyl-CoA synthetase bubblegum family member 1"	2.805	3.53
"206473_at"	"MBTPS2"	"membrane bound transcription factor peptidase, site 2"	-1.961	3.363
"206530_at"	"RAB30"	"RAB30, member RAS oncogene family"	-2.309	3.383
"206545_at"	"CD28"	"CD28 molecule"	3.826	4.696
"206585_at"	"MKRN3"	"makorin ring finger protein 3"	3.265	3.459
"206597_at"	"NRL"	"neural retina leucine zipper"	-2.178	3.51
"206683_at"	"ZNF165"	"zinc finger protein 165"	-3.576	4.347
"206804_at"	"CD3G"	"CD3g molecule"	6.061	6.603
"206896_s_at"	"GNG7"	"G protein subunit gamma 7"	-3.469	6.214
"207015_s_at"	"ALDH1A2"	"aldehyde dehydrogenase 1 family member A2"	4.433	4.512
"207016_s_at"	"LOC101928635///ALDH1A2"	"uncharacterized LOC101928635///aldehyde dehydrogenase 1 family member A2"	8.108	6.55
"207030_s_at"	"CSRP2"	"cysteine and glycine rich protein 2"	-5.284	5.656
"207112_s_at"	"GAB1"	"GRB2 associated binding protein 1"	-4.002	4.882
"207571_x_at"	"THEMIS2"	"thymocyte selection associated family member 2"	-4.177	3.734
"207614_s_at"	"CUL1"	"cullin 1"	-2.547	4.258
"207655_s_at"	"BLNK"	"B-cell linker"	-6.595	7.467
"207857_at"	"LILRA2"	"leukocyte immunoglobulin like receptor A2"	-4.007	5.028
"207968_s_at"	"MEF2C"	"myocyte enhancer factor 2C"	-4.858	7.544
"208033_s_at"	"ZFHX3"	"zinc finger homeobox 3"	-3.981	3.287
"208068_x_at"	"GH2///GH1///CSHL1///CSH1"	"growth hormone 2///growth hormone 1///chorionic somatomammotropin hormone like 1///chorionic somatomammotropin hormone 1"	-2.234	3.987
"208178_x_at"	"TRIO"	"trio Rho guanine nucleotide exchange factor"	-4.351	3.843
"208306_x_at"	"HLA-DRB1"	"major histocompatibility complex, class II, DR beta 1"	-4.488	6.696
"208406_s_at"	"GRAP2"	"GRB2-related adaptor protein 2"	3.548	4.44
"208650_s_at"	"CD24"	"CD24 molecule"	-4.968	3.398
"208782_at"	"FSTL1"	"follistatin like 1"	4.573	3.411
"208820_at"	"PTK2"	"protein tyrosine kinase 2"	-5.291	5.581
"208872_s_at"	"REEP5"	"receptor accessory protein 5"	-1.665	3.515
"208894_at"	"HLA-DRA"	"major histocompatibility complex, class II, DR alpha"	-6.775	6.329
"208913_at"	"GGA2"	"golgi associated, gamma adaptin ear containing, ARF binding protein 2"	-2.611	6.376
"208914_at"	"GGA2"	"golgi associated, gamma adaptin ear containing, ARF binding protein 2"	-2.022	3.499
"208915_s_at"	"GGA2"	"golgi associated, gamma adaptin ear containing, ARF binding protein 2"	-2.733	3.859
"209012_at"	"TRIO"	"trio Rho guanine nucleotide exchange factor"	-2.561	3.458
"209051_s_at"	"RALGDS"	"ral guanine nucleotide dissociation stimulator"	-2.31	3.54
"209101_at"	"CTGF"	"connective tissue growth factor"	-8.157	4.311
"209183_s_at"	"C10orf10"	"chromosome 10 open reading frame 10"	-5.35	5.415
"209185_s_at"	"IRS2"	"insulin receptor substrate 2"	-2.931	3.454
"209198_s_at"	"SYT11"	"synaptotagmin 11"	-2.16	3.437
"209199_s_at"	"MEF2C"	"myocyte enhancer factor 2C"	-6.926	8.851
"209200_at"	"MEF2C"	"myocyte enhancer factor 2C"	-6.655	7.619
"209228_x_at"	"TUSC3"	"tumor suppressor candidate 3"	5.016	6.903
"209238_at"	"STX3"	"syntaxin 3"	-2.358	3.41
"209306_s_at"	"SWAP70"	"SWAP switching B-cell complex 70kDa subunit"	-3.149	5.127
"209307_at"	"SWAP70"	"SWAP switching B-cell complex 70kDa subunit"	-3.207	5.252
"209312_x_at"	"LOC101060835///LOC100996809///HLA-DRB5///HLA-DRB4///HLA-DRB1///HLA-DQB1"	"HLA class II histocompatibility antigen, DQ beta 1 chain-like///HLA class II histocompatibility antigen, DRB1-10 beta chain-like///major histocompatibility complex, class II, DR beta 5///major histocompatibility complex, class II, DR beta 4///major histocompatibility complex, class II, DR beta 1///major histocompatibility complex, class II, DQ beta 1"	-4.466	6.205
"209324_s_at"	"RGS16"	"regulator of G-protein signaling 16"	-3.871	3.671
"209374_s_at"	"IGHM"	"immunoglobulin heavy constant mu"	-4.712	4.106
"209409_at"	"GRB10"	"growth factor receptor bound protein 10"	-2.22	3.861
"209544_at"	"RIPK2"	"receptor interacting serine/threonine kinase 2"	-2.793	6.253
"209545_s_at"	"RIPK2"	"receptor interacting serine/threonine kinase 2"	-3.228	3.98
"209568_s_at"	"RGL1"	"ral guanine nucleotide dissociation stimulator like 1"	-3.613	3.517
"209619_at"	"CD74"	"CD74 molecule"	-5.478	8.756
"209683_at"	"FAM49A"	"family with sequence similarity 49 member A"	-5.051	4.864
"209706_at"	"NKX3-1"	"NK3 homeobox 1"	4.89	3.811
"209771_x_at"	"CD24"	"CD24 molecule"	-5.082	3.489
"209823_x_at"	"LOC101060835///HLA-DQB1"	"HLA class II histocompatibility antigen, DQ beta 1 chain-like///major histocompatibility complex, class II, DQ beta 1"	-4.835	4.914
"209826_at"	"PPT2-EGFL8///EGFL8///PPT2"	"PPT2-EGFL8 readthrough (NMD candidate)///EGF like domain multiple 8///palmitoyl-protein thioesterase 2"	1.488	3.439
"209881_s_at"	"LAT"	"linker for activation of T-cells"	5.147	6.897
"209995_s_at"	"TCL1A"	"T-cell leukemia/lymphoma 1A"	-7.139	4.688
"210038_at"	"PRKCQ"	"protein kinase C theta"	3.622	6.217
"210039_s_at"	"PRKCQ"	"protein kinase C theta"	3.043	4.314
"210055_at"	"TSHR"	"thyroid stimulating hormone receptor"	5.918	6.58
"210116_at"	"SH2D1A"	"SH2 domain containing 1A"	6.511	6.091
"210136_at"	"MBP"	"myelin basic protein"	-3.579	3.905
"210176_at"	"TLR1"	"toll like receptor 1"	-3.029	5.462
"210325_at"	"CD1A"	"CD1a molecule"	3.467	4.628
"210422_x_at"	"SLC11A1"	"solute carrier family 11 member 1"	-3.128	3.28
"210439_at"	"ICOS"	"inducible T-cell costimulator"	3.517	3.58
"210450_at"	"IGHV5-78"	"immunoglobulin heavy variable 5-78 (pseudogene)"	-5.37	8.533
"210452_x_at"	"CYP4F2"	"cytochrome P450 family 4 subfamily F member 2"	3.885	5.883
"210554_s_at"	"CTBP2"	"C-terminal binding protein 2"	-2.923	4.21
"210658_s_at"	"GGA2"	"golgi associated, gamma adaptin ear containing, ARF binding protein 2"	-2.647	4.33
"210835_s_at"	"CTBP2"	"C-terminal binding protein 2"	-3.177	3.994
"210844_x_at"	"CTNNA1"	"catenin alpha 1"	-1.999	3.283
"210871_x_at"	"SSX2IP"	"SSX family member 2 interacting protein"	1.579	3.389
"210915_x_at"	"TRBC1"	"T cell receptor beta constant 1"	5.912	9.192
"210982_s_at"	"HLA-DRA"	"major histocompatibility complex, class II, DR alpha"	-6.604	6.489
"210999_s_at"	"GRB10"	"growth factor receptor bound protein 10"	-1.775	3.463
"211000_s_at"	"IL6ST"	"interleukin 6 signal transducer"	-2.773	3.56
"211005_at"	"LAT"	"linker for activation of T-cells"	6.397	7.266
"211091_s_at"	"NF2"	"neurofibromin 2"	-2.538	3.897
"211101_x_at"	"LILRA2"	"leukocyte immunoglobulin like receptor A2"	-3.585	3.676
"211102_s_at"	"LILRA2"	"leukocyte immunoglobulin like receptor A2"	-3.394	4.049
"211126_s_at"	"CSRP2"	"cysteine and glycine rich protein 2"	-4.232	4.21
"211209_x_at"	"SH2D1A"	"SH2 domain containing 1A"	6.1	6.065
"211210_x_at"	"SH2D1A"	"SH2 domain containing 1A"	5.719	5.614
"211211_x_at"	"SH2D1A"	"SH2 domain containing 1A"	5.464	5.39
"211252_x_at"	"PTCRA"	"pre T-cell antigen receptor alpha"	2.03	3.645
"211302_s_at"	"PDE4B"	"phosphodiesterase 4B"	-4.877	3.308
"211336_x_at"	"LILRB1"	"leukocyte immunoglobulin like receptor B1"	-2.897	4.482
"211339_s_at"	"ITK"	"IL2 inducible T-cell kinase"	3.446	3.798
"211450_s_at"	"MSH6"	"mutS homolog 6"	-2.109	3.697
"211795_s_at"	"FYB"	"FYN binding protein"	3.218	4.713
"211796_s_at"	"TRBC1"	"T cell receptor beta constant 1"	6.68	7.772
"211890_x_at"	"CAPN3"	"calpain 3"	-3.606	3.956
"211959_at"	"IGFBP5"	"insulin like growth factor binding protein 5"	5.238	4.024
"211990_at"	"HLA-DPA1"	"major histocompatibility complex, class II, DP alpha 1"	-4.712	8.152
"211991_s_at"	"HLA-DPA1"	"major histocompatibility complex, class II, DP alpha 1"	-5.043	6.941
"212099_at"	"RHOB"	"ras homolog family member B"	-3.396	3.272
"212358_at"	"CLIP3"	"CAP-Gly domain containing linker protein 3"	4.111	3.438
"212382_at"	"TCF4"	"transcription factor 4"	-3.618	3.349
"212385_at"	"TCF4"	"transcription factor 4"	-4.962	3.909
"212398_at"	"RDX"	"radixin"	-1.749	3.403
"212549_at"	"STAT5B"	"signal transducer and activator of transcription 5B"	1.615	3.851
"212599_at"	"AUTS2"	"autism susceptibility candidate 2"	-2.81	4.386
"212655_at"	"ZCCHC14"	"zinc finger CCHC-type containing 14"	-2.095	3.38
"212713_at"	"MFAP4"	"microfibrillar associated protein 4"	5.201	6.947
"212719_at"	"PHLPP1"	"PH domain and leucine rich repeat protein phosphatase 1"	-3.364	4.557
"212730_at"	"SYNM"	"synemin"	-3.704	4.211
"212813_at"	"JAM3"	"junctional adhesion molecule 3"	3.373	7.157
"212827_at"	"IGHM"	"immunoglobulin heavy constant mu"	-4.362	3.784
"212975_at"	"DENND3"	"DENN domain containing 3"	-2.594	4.058
"212998_x_at"	"LOC101060835///HLA-DQB1"	"HLA class II histocompatibility antigen, DQ beta 1 chain-like///major histocompatibility complex, class II, DQ beta 1"	-4.995	3.71
"213060_s_at"	"CHI3L2"	"chitinase 3 like 2"	5.179	6.601
"213193_x_at"	"TRBC1"	"T cell receptor beta constant 1"	5.201	7.776
"213256_at"	"MARCH3"	"membrane associated ring-CH-type finger 3"	-3.058	4.024
"213283_s_at"	"SALL2"	"spalt like transcription factor 2"	2.896	3.89
"213423_x_at"	"TUSC3"	"tumor suppressor candidate 3"	5.274	5.555
"213485_s_at"	"ABCC10"	"ATP binding cassette subfamily C member 10"	2.11	5.1
"213537_at"	"HLA-DPA1"	"major histocompatibility complex, class II, DP alpha 1"	-4.56	7.018
"213539_at"	"CD3D"	"CD3d molecule"	6.873	12.707
"213601_at"	"SLIT1"	"slit guidance ligand 1"	2.915	3.836
"213638_at"	"PHACTR1"	"phosphatase and actin regulator 1"	-3.444	3.615
"213645_at"	"ENOSF1"	"enolase superfamily member 1"	2.947	3.678
"213657_s_at"			2.038	3.59
"213772_s_at"	"GGA2"	"golgi associated, gamma adaptin ear containing, ARF binding protein 2"	-2.859	6.175
"213792_s_at"	"INSR"	"insulin receptor"	-2.928	3.52
"213830_at"	"YME1L1"	"YME1 like 1 ATPase"	5.747	4.59
"213958_at"	"CD6"	"CD6 molecule"	3.833	4.337
"214032_at"	"ZAP70"	"zeta chain of T cell receptor associated protein kinase 70"	2.83	3.267
"214049_x_at"	"CD7"	"CD7 molecule"	3.605	5.007
"214186_s_at"	"HCG26"	"HLA complex group 26 (non-protein coding)"	-2.717	3.309
"214190_x_at"	"GGA2"	"golgi associated, gamma adaptin ear containing, ARF binding protein 2"	-3.275	6.524
"214390_s_at"	"BCAT1"	"branched chain amino acid transaminase 1"	-3.298	3.647
"214475_x_at"	"CAPN3"	"calpain 3"	-4.143	4.509
"214551_s_at"	"CD7"	"CD7 molecule"	3.788	3.996
"214862_x_at"	"TET1"	"tet methylcytosine dioxygenase 1"	4.281	5.128
"214924_s_at"	"TRAK1"	"trafficking kinesin protein 1"	-1.859	3.531
"215117_at"	"RAG2"	"recombination activating gene 2"	-3.066	3.336
"215149_at"	"AJAP1"	"adherens junctions associated protein 1"	5.061	5.081
"215193_x_at"	"LOC101060835///LOC100996809///HLA-DRB4///HLA-DRB3///HLA-DRB1///HLA-DQB1"	"HLA class II histocompatibility antigen, DQ beta 1 chain-like///HLA class II histocompatibility antigen, DRB1-10 beta chain-like///major histocompatibility complex, class II, DR beta 4///major histocompatibility complex, class II, DR beta 3///major histocompatibility complex, class II, DR beta 1///major histocompatibility complex, class II, DQ beta 1"	-4.78	6.128
"215210_s_at"	"DLST"	"dihydrolipoamide S-succinyltransferase"	-2.085	4.225
"215307_at"	"ZNF529"	"zinc finger protein 529"	3.166	3.426
"215442_s_at"	"TSHR"	"thyroid stimulating hormone receptor"	5.332	4.903
"215443_at"	"TSHR"	"thyroid stimulating hormone receptor"	5.921	5.637
"215543_s_at"	"LARGE1"	"LARGE xylosyl- and glucuronyltransferase 1"	-3.693	3.462
"215789_s_at"	"AJAP1"	"adherens junctions associated protein 1"	4.417	3.561
"215790_at"	"AJAP1"	"adherens junctions associated protein 1"	4.787	5.296
"215925_s_at"	"CD72"	"CD72 molecule"	-4.583	5.697
"215936_s_at"	"KIAA1033"	"KIAA1033"	-1.888	3.369
"216191_s_at"	"TRDV3"	"T cell receptor delta variable 3"	5.206	3.642
"216218_s_at"	"PLCL2"	"phospholipase C like 2"	-2.864	3.791
"216379_x_at"	"CD24"	"CD24 molecule"	-4.778	3.372
"216617_s_at"	"MAG"	"myelin associated glycoprotein"	2.249	4.242
"216799_at"			-3.018	3.742
"216915_s_at"	"PTPN12"	"protein tyrosine phosphatase, non-receptor type 12"	-3.43	3.42
"216942_s_at"	"CD58"	"CD58 molecule"	-2.586	3.762
"217143_s_at"	"YME1L1"	"YME1 like 1 ATPase"	5.294	4.249
"217147_s_at"	"TRAT1"	"T cell receptor associated transmembrane adaptor 1"	6.688	5.648
"217184_s_at"	"LTK"	"leukocyte receptor tyrosine kinase"	-3.009	3.366
"217234_s_at"	"EZR"	"ezrin"	-2.594	3.542
"217326_x_at"	"IL23A///TRBV19"	"interleukin 23 subunit alpha///T cell receptor beta variable 19"	2.507	3.666
"217478_s_at"	"HLA-DMA"	"major histocompatibility complex, class II, DM alpha"	-4.294	6.238
"217513_at"	"MILR1"	"mast cell immunoglobulin like receptor 1"	-4.087	3.774
"217755_at"	"HN1"	"hematological and neurological expressed 1"	2.541	4.21
"217901_at"	"DSG2"	"desmoglein 2"	5.886	4.69
"217963_s_at"	"BEX3"	"brain expressed X-linked 3"	6.921	8.162
"217979_at"	"TSPAN13"	"tetraspanin 13"	-2.709	4.126
"218087_s_at"	"SORBS1"	"sorbin and SH3 domain containing 1"	-3.491	3.428
"218145_at"	"TRIB3"	"tribbles pseudokinase 3"	1.757	3.639
