ID	Gene.symbol	Gene.title	log2(fold change)(Tumour vs Normal)	-log10(Pvalue)(Tumour vs Normal)
104350			0.655	2.772
104351	PRIM2	primase (DNA) subunit 2	1.066	2.554
104353	TP53TG5	TP53 target 5	-0.868	2.543
104384	F13A1	coagulation factor XIII A chain	-2.549	3.196
104400			0.891	2.65
104641	PAN3	PAN3 poly(A) specific ribonuclease subunit	0.764	2.555
104718			0.867	3
104721	SOGA3///KIAA0408	SOGA family member 3///KIAA0408	-1.073	2.646
104731			0.543	2.685
104893			0.835	3.088
104925	KIAA0513	KIAA0513	-0.949	3.141
105010	RFC3	replication factor C subunit 3	1.48	3.069
105053	MNAT1	MNAT1, CDK activating kinase assembly factor	0.656	3.317
105152	WNT2	Wnt family member 2	1.935	2.858
105197	AGTR1	angiotensin II receptor type 1	-1.365	2.982
105208	NAA20	N(alpha)-acetyltransferase 20, NatB catalytic subunit	0.788	3.138
105260	SRPK1	SRSF protein kinase 1	0.78	3.216
105351	EIF2AK3	eukaryotic translation initiation factor 2 alpha kinase 3	-0.796	3.8
105377	CTH	cystathionine gamma-lyase	-0.769	2.758
105404	NAT10	N-acetyltransferase 10	1.084	4.003
105408	PDE9A	phosphodiesterase 9A	-1.895	5.237
105463	CAB39	calcium binding protein 39	-0.839	3.758
105499	LRRN2	leucine rich repeat neuronal 2	-2.285	4.08
105532			-1.008	3.51
105539	KRT8	keratin 8	-0.984	3.715
105558			-0.549	2.617
105562	TTC27	tetratricopeptide repeat domain 27	0.865	2.465
105587			-1.092	2.566
105589	UGT1A3///UGT1A1///UGT1A4///UGT1A9///UGT1A5///UGT1A6///UGT1A7///UGT1A8///UGT1A10	UDP glucuronosyltransferase family 1 member A3///UDP glucuronosyltransferase family 1 member A1///UDP glucuronosyltransferase family 1 member A4///UDP glucuronosyltransferase family 1 member A9///UDP glucuronosyltransferase family 1 member A5///UDP glucuronosyltransferase family 1 member A6///UDP glucuronosyltransferase family 1 member A7///UDP glucuronosyltransferase family 1 member A8///UDP glucuronosyltransferase family 1 member A10	-1.718	3.348
105605			0.621	2.957
105646	TRPM4	transient receptor potential cation channel subfamily M member 4	-0.932	2.83
105790	CTSS	cathepsin S	-0.932	2.634
105868	TOMM34	translocase of outer mitochondrial membrane 34	1.043	3.745
105924			-0.611	2.868
106012	SLC25A20	solute carrier family 25 member 20	-1.109	3.889
106022	GTF3A	general transcription factor IIIA	0.976	2.73
106095	NHP2	NHP2 ribonucleoprotein	0.667	3.101
106198	CENPA	centromere protein A	1.727	3.753
106201			-0.779	2.848
106225			0.546	2.991
106227	DUSP14	dual specificity phosphatase 14	1.553	5.623
106245	FOPNL	FGFR1OP N-terminal like	1.517	4.553
106461	TSPAN1	tetraspanin 1	-2.031	4.788
106564	HILPDA	hypoxia inducible lipid droplet associated	2.132	4.359
106637	NOP16	NOP16 nucleolar protein	0.999	3.681
106683	ATP8B1	ATPase phospholipid transporting 8B1	-0.952	2.934
106760			2.088	3.619
107026	PPA1	pyrophosphatase (inorganic) 1	0.841	3.787
107030			0.942	5.399
107057	TLR10	toll like receptor 10	-1.255	3.407
107085			1.234	3.622
107117	GLA	galactosidase alpha	0.604	2.598
107128	SLIT3	slit guidance ligand 3	-1.27	2.97
107158	ATP6V0D1	ATPase H+ transporting V0 subunit d1	-0.942	5.122
107235	PITPNB	phosphatidylinositol transfer protein beta	0.884	2.636
107292	SESN2	sestrin 2	-0.858	2.655
107327	RCN2	reticulocalbin 2	0.677	2.832
107339	GFER	growth factor, augmenter of liver regeneration	-0.806	3.381
107347	SNTB1	syntrophin beta 1	2.174	5.014
107398	DOCK10	dedicator of cytokinesis 10	-0.84	2.786
107402	DAP3	death associated protein 3	0.596	3.09
107406	NDC80	NDC80, kinetochore complex component	0.964	2.776
107444	NAP1L1	nucleosome assembly protein 1 like 1	0.864	3.343
107499	DENND3	DENN domain containing 3	-0.74	3.314
107517	HMGCL	3-hydroxymethyl-3-methylglutaryl-CoA lyase	-0.736	2.841
107531	CELSR2	cadherin EGF LAG seven-pass G-type receptor 2	0.867	2.62
107614	PGAP3	post-GPI attachment to proteins 3	-0.749	2.67
107640			0.692	2.708
107645			0.511	2.491
107683			0.898	4.909
107699			1.426	4.328
107743			1.002	3.922
107747	CCT4	chaperonin containing TCP1 subunit 4	0.83	4.257
107835	FUCA1	fucosidase, alpha-L- 1, tissue	-1.561	5.078
107924	BCCIP	BRCA2 and CDKN1A interacting protein	0.747	2.561
107957	METTL7A	methyltransferase like 7A	-1.636	4.888
107994			0.457	2.742
108044	TTI1	TELO2 interacting protein 1	0.756	2.905
108145	KIAA1143	KIAA1143	0.932	2.922
108162			-1.87	4.982
108167	TDO2	tryptophan 2,3-dioxygenase	1.655	4.439
108266	CLIC5	chloride intracellular channel 5	-1.991	4.851
108289	XPOT	exportin for tRNA	1.273	2.554
108301	PDGFD	platelet derived growth factor D	-1.676	4.679
108454	ALDH1B1	aldehyde dehydrogenase 1 family member B1	1.151	3.252
108463	INTS6L	integrator complex subunit 6 like	-1.121	4.274
108577	SRPX	sushi repeat containing protein, X-linked	-1.546	2.873
108691	METTL5	methyltransferase like 5	0.899	4.662
108749	ING5	inhibitor of growth family member 5	0.634	2.554
108804	TMEM267	transmembrane protein 267	0.991	2.586
108849			0.795	3.119
109033	CIT	citron rho-interacting serine/threonine kinase	1.323	2.97
109051	HGD	homogentisate 1,2-dioxygenase	-1.121	2.488
109097			0.976	3.181
109204	PRSS3	protease, serine 3	-0.832	2.643
109356	KRT23	keratin 23	3.705	3.178
109438			0.921	3.592
109532	GPAT3	glycerol-3-phosphate acyltransferase 3	-1.68	5.268
109673	NUDT22	nudix hydrolase 22	-0.57	2.936
109690	PRPF4	pre-mRNA processing factor 4	0.906	2.849
109711	TPD52L1	tumor protein D52-like 1	1.835	4.734
109765	ARHGAP45	Rho GTPase activating protein 45	-0.868	2.522
109788	PRPS1	phosphoribosyl pyrophosphate synthetase 1	0.56	2.664
109841	NPTN	neuroplastin	-0.523	2.433
109858	CD55	CD55 molecule (Cromer blood group)	1.235	3.064
109909	OTOP2	otopetrin 2	-3.489	7.623
109943	IL16	interleukin 16	-1.048	2.629
109956	ANGPT1	angiopoietin 1	-1.284	2.717
109981	NCBP2	nuclear cap binding protein subunit 2	0.794	2.92
109989			-0.644	2.681
110014	VLDLR	very low density lipoprotein receptor	-1.829	2.451
110043	RECK	reversion inducing cysteine rich protein with kazal motifs	-1.158	3.161
110066	IFT22	intraflagellar transport 22	0.726	2.486
110205	SNRPF	small nuclear ribonucleoprotein polypeptide F	0.669	2.7
110210	SPIB	Spi-B transcription factor	-2.327	7.442
110329	SYNC	syncoilin, intermediate filament protein	-1.178	2.774
110408	ZFAND1	zinc finger AN1-type containing 1	0.681	2.442
110587	EPB41L3	erythrocyte membrane protein band 4.1 like 3	-1.484	3.445
110608			0.787	3.44
110621			-2.624	7.001
110675	BRIX1	BRX1, biogenesis of ribosomes	0.967	3.906
110709	FCRLA	Fc receptor like A	-1.89	4.151
110722	VSNL1	visinin like 1	2.292	4.485
110790	ARHGAP17	Rho GTPase activating protein 17	-0.684	3.259
110863	CCNA2	cyclin A2	1.328	2.789
110884	NR3C1	nuclear receptor subfamily 3 group C member 1	-1.166	3.857
110931	POLR3E	RNA polymerase III subunit E	0.666	3.05
111003	CASD1	CAS1 domain containing 1	-1.347	4.239
111079	VSIG4	V-set and immunoglobulin domain containing 4	-1.436	2.492
111132			1.158	3.893
111134	THOC3	THO complex 3	1.206	2.577
111161			-1.309	3.653
111216			0.457	2.473
111292	DIMT1	DIM1 dimethyladenosine transferase 1 homolog	0.866	3.123
111306	COL4A2	collagen type IV alpha 2 chain	0.979	2.639
111357			0.645	2.619
111362	LIMD2	LIM domain containing 2	-1.183	3.222
111479	MCF2	MCF.2 cell line derived transforming sequence	0.771	2.484
111836	FAM3C	family with sequence similarity 3 member C	-0.683	2.707
111849	PARPBP	PARP1 binding protein	1.222	3.023
111851			-1.758	2.898
112056	UGP2	UDP-glucose pyrophosphorylase 2	-1.559	4.935
112075	ASTE1	asteroid homolog 1 (Drosophila)	-0.768	2.541
112112	NUP43	nucleoporin 43	0.787	2.718
112167			0.919	4.146
112201	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	-3.385	3.822
112248	CLEC10A	C-type lectin domain family 10 member A	-1.975	4.137
112355	DPYD	dihydropyrimidine dehydrogenase	-1.007	3.363
112457			-0.667	2.878
112463	STAP1	signal transducing adaptor family member 1	-1.279	3.216
112467	SPPL2A	signal peptide peptidase like 2A	-1.027	3.992
112470	RNF183	ring finger protein 183	1.345	3.17
112547	MFAP5	microfibrillar associated protein 5	-1.745	3.164
112559			0.922	2.624
112586	LGALS2	galectin 2	-2.598	4.759
112634			0.951	3.008
112738			0.81	3.252
112771	FXYD5	FXYD domain containing ion transport regulator 5	1.114	3.623
112793	OTX1	orthodenticle homeobox 1	1.555	3.202
112934	SMPD3	sphingomyelin phosphodiesterase 3	-1.353	5.716
112968	HHLA2	HERV-H LTR-associating 2	-2.69	4.736
113071			-0.717	2.656
113091	CNNM4	cyclin and CBS domain divalent metal cation transport mediator 4	-0.696	2.523
113110	TCERG1	transcription elongation regulator 1	0.594	2.97
113393	AHNAK	AHNAK nucleoprotein	-0.983	2.857
113598	CPB1	carboxypeptidase B1	-2.332	4.837
113674	NEUROD1	neuronal differentiation 1	-1.821	4.66
113678	CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	1.254	4.786
113737	TRIB3	tribbles pseudokinase 3	2.385	3.212
113742			-2.116	4.042
113775			-0.795	2.535
113787			-0.759	3.034
113888	KRT19	keratin 19	-1.545	4.785
113921	NELFCD	negative elongation factor complex member C/D	0.819	3.953
113928			1.352	5.435
113933	IL23A	interleukin 23 subunit alpha	2.009	4.617
114043			-0.623	3.522
114136	CASP7	caspase 7	-0.897	3.018
114206	SLC9A3R1	SLC9A3 regulator 1	-0.719	2.624
114220	BEST4	bestrophin 4	-1.274	4.111
114236	MSH5	mutS homolog 5	0.775	2.898
114277	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1	-0.833	2.943
114422	COLEC12	collectin subfamily member 12	-1.793	3.517
114538	POLR1B	RNA polymerase I subunit B	1.168	3.372
114559	ARL6IP5	ADP ribosylation factor like GTPase 6 interacting protein 5	-0.587	2.515
114576	PRIM1	primase (DNA) subunit 1	1.191	3.547
114584	ATAD2	ATPase family, AAA domain containing 2	1.426	2.632
114670	P2RY14	purinergic receptor P2Y14	-1.335	2.895
114689	PPP2R3A	protein phosphatase 2 regulatory subunit B''alpha	-1.21	2.479
114747	TMBIM4	transmembrane BAX inhibitor motif containing 4	-0.617	2.664
114785	SH3BGRL2	SH3 domain binding glutamate rich protein like 2	-0.782	2.492
114866	ORC6	origin recognition complex subunit 6	1.533	3.142
115008	TXNDC11	thioredoxin domain containing 11	-0.7	3.618
115154	TCN1	transcobalamin 1	3.581	4.208
115238			-2.792	5.273
115306			0.651	2.59
115313	LRRC1	leucine rich repeat containing 1	-1.166	4.409
115323	CHEK2	checkpoint kinase 2	1.325	3.237
115349	ZNF277	zinc finger protein 277	0.552	2.832
115381	UBE2S	ubiquitin conjugating enzyme E2 S	1.204	3.12
115385	RRP1	ribosomal RNA processing 1	0.918	4.1
115487	RAD54B	RAD54 homolog B (S. cerevisiae)	1.186	2.47
115522	GMPS	guanine monophosphate synthase	1.306	3.533
115558			1.171	4.888
115589	MCM4	minichromosome maintenance complex component 4	1.074	2.608
115729	ALAS2	5'-aminolevulinate synthase 2	-1.073	2.878
115752	PDCD5	programmed cell death 5	0.71	3.325
115763	OSBPL11	oxysterol binding protein like 11	-0.589	3.062
115849			-2.112	3.466
115882	CHP1	calcineurin like EF-hand protein 1	-0.863	4.038
115953			1.332	4.471
115993	TBX3	T-box 3	1.584	3.331
116145	POLR1D	RNA polymerase I subunit D	0.873	3.778
116212	NPC2	NPC intracellular cholesterol transporter 2	-0.601	2.684
116243	DNAAF3	dynein axonemal assembly factor 3	1.065	2.684
116530	EIF2B3	eukaryotic translation initiation factor 2B subunit gamma	0.672	3.043
116635	PFKM	phosphofructokinase, muscle	0.882	2.755
116662			-1.598	6.217
116672	CRY2	cryptochrome circadian clock 2	-0.614	2.684
116772			1.173	3.882
116895	DHRS9	dehydrogenase/reductase 9	-3.078	3.338
116909			-0.74	3.08
117004			-0.924	3.733
117068			0.83	3.407
117096	LIF	leukemia inhibitory factor	0.717	2.81
117099	POP1	POP1 homolog, ribonuclease P/MRP subunit	1.264	2.591
117132	TSC22D1	TSC22 domain family member 1	-0.804	2.532
117284			-0.616	2.492
117293			-2.752	6.243
117320	IMMP2L	inner mitochondrial membrane peptidase subunit 2	1.103	2.611
117437	TFB1M	transcription factor B1, mitochondrial	0.772	3.08
117508	ZC3H15	zinc finger CCCH-type containing 15	0.467	2.669
117528	ABCC1	ATP binding cassette subfamily C member 1	1.287	3.965
117630			-0.605	3.016
117712	POLR3C	RNA polymerase III subunit C	0.598	3.111
117763	ADAM20	ADAM metallopeptidase domain 20	-1.009	2.874
117835			0.858	3.789
117844			1.698	3.272
117895	SCG2	secretogranin II	-1.377	4.558
117918	ITM2C	integral membrane protein 2C	-1.803	4.404
117960	CMAS	cytidine monophosphate N-acetylneuraminic acid synthetase	-0.774	3.892
117972			1.058	4.71
117989	IMPDH2	inosine monophosphate dehydrogenase 2	0.93	2.969
118180	SYT13	synaptotagmin 13	0.942	2.588
118224			0.799	3.01
118410	SYTL2	synaptotagmin like 2	-1.099	2.977
118448			-1.369	2.649
118520	RBM28	RNA binding motif protein 28	0.944	4.912
118602	MPND	MPN domain containing	-1.044	4.162
118650	FZD6	frizzled class receptor 6	1.108	3.519
118774	ODC1	ornithine decarboxylase 1	1.231	3.316
118813	PAM16	presequence translocase associated motor 16 homolog	0.635	2.64
118830	KIF20A	kinesin family member 20A	1.321	3.373
118874	IFITM1	interferon induced transmembrane protein 1	1.717	6.376
118930	TXNIP	thioredoxin interacting protein	-1.476	4.255
118957	KRTAP4-1	keratin associated protein 4-1	1.764	3.379
118978	IL17F	interleukin 17F	-1.324	4.133
118996	RDH5	retinol dehydrogenase 5	-1.382	4.51
119003	FLVCR2	feline leukemia virus subgroup C cellular receptor family member 2	-0.965	2.739
119008	HSPB1	heat shock protein family B (small) member 1	-0.897	2.782
119143	HMGA1	high mobility group AT-hook 1	0.757	3.007
119172	TBX10	T-box 10	-1.616	3.352
119192	RETSAT	retinol saturase	-1.193	3.592
119208	CCL14	C-C motif chemokine ligand 14	-1.237	3.076
119241	CCDC74A	coiled-coil domain containing 74A	1.029	3.65
119268	DDX19A	DEAD-box helicase 19A	0.517	2.912
119283	PYCR1	pyrroline-5-carboxylate reductase 1	0.988	2.781
119323	PRRC2A	proline rich coiled-coil 2A	1.065	2.714
119407			0.713	2.796
119453	STC1	stanniocalcin 1	2.632	3.694
119533			-0.702	2.985
119609	PODXL	podocalyxin like	1.2	3.895
119646	CKB	creatine kinase B	-2.609	3.239
119661			-0.694	2.89
119730	PIEZO1	piezo type mechanosensitive ion channel component 1	0.576	2.656
119754			1.107	3.042
119802			1.03	3.465
119843			0.568	3.407
119860			0.626	3.374
119933			1.108	3.348
120032			0.762	2.482
120075	AP3M2	adaptor related protein complex 3 mu 2 subunit	0.922	3.245
120114	CCDC59	coiled-coil domain containing 59	0.626	2.852
120125	PHLDB1	pleckstrin homology like domain family B member 1	-0.869	3.695
120135	PTPRH	protein tyrosine phosphatase, receptor type H	-1.61	5.032
120229	CIB1	calcium and integrin binding 1	-0.489	2.55
120264	CILP	cartilage intermediate layer protein	-2.397	3.215
120339	CMSS1	cms1 ribosomal small subunit homolog (yeast)	1.701	5.118
120362	SCNN1B	sodium channel epithelial 1 beta subunit	-3.482	5.734
120363			-0.717	2.762
120440	ITPA	inosine triphosphatase	0.739	2.569
120546	MAP3K11	mitogen-activated protein kinase kinase kinase 11	-0.736	3.111
120556	RCL1	RNA terminal phosphate cyclase like 1	1.352	3.514
120578	AZGP1	alpha-2-glycoprotein 1, zinc-binding	2.211	2.956
120597	YARS	tyrosyl-tRNA synthetase	0.794	2.586
120624	FOXO1	forkhead box O1	-1.052	3.079
120637	FAM60A	family with sequence similarity 60 member A	0.845	2.758
120701	PPID	peptidylprolyl isomerase D	0.781	2.943
120705	ZNF146	zinc finger protein 146	0.57	2.836
120707	ECH1	enoyl-CoA hydratase 1	-0.702	2.681
120719	GBAP1///GBA	glucosylceramidase beta pseudogene 1///glucosylceramidase beta	-0.621	3.519
120728			-1.754	3.179
120923	AQP9	aquaporin 9	2.306	3.554
120955	PINK1	PTEN induced putative kinase 1	-1.036	2.781
121056			-1.262	2.731
121227			0.657	3.042
121238	MRPL9	mitochondrial ribosomal protein L9	0.498	2.616
121285			0.687	2.472
121408			-0.92	3.614
121430	DHDDS	dehydrodolichyl diphosphate synthase subunit	-1.087	3.145
121538			0.498	2.734
121636	FAM3B	family with sequence similarity 3 member B	2.042	2.643
121673			1.66	2.875
121773	CD36	CD36 molecule	-1.788	4.001
121977	RPUSD4	RNA pseudouridylate synthase domain containing 4	0.938	2.457
122051			1.444	3.356
122106	CKAP2	cytoskeleton associated protein 2	1.234	3.062
122158	AKR1C2	aldo-keto reductase family 1, member C2	-1	2.438
122174	CBLN2	cerebellin 2 precursor	-1.322	3.123
122241	SNRPF	small nuclear ribonucleoprotein polypeptide F	0.799	2.834
122265	NDUFA9	NADH:ubiquinone oxidoreductase subunit A9	-0.639	3.325
122271	FAM8A1	family with sequence similarity 8 member A1	-0.799	3.557
122590			0.596	3.074
122800	DSCR3	DSCR3 arrestin fold containing	-0.623	2.586
122823	TGDS	TDP-glucose 4,6-dehydratase	0.568	2.989
122836			-2.821	4.933
122888			1.577	3.103
122912	KLF9	Kruppel like factor 9	-0.963	2.613
122957	EIF3G	eukaryotic translation initiation factor 3 subunit G	0.552	2.721
122996	NXPE4	neurexophilin and PC-esterase domain family member 4	-2.818	2.523
123014	IMMP2L	inner mitochondrial membrane peptidase subunit 2	1.213	2.577
123056			-1.296	3.365
123062	PUS7	pseudouridylate synthase 7 (putative)	1.703	4.995
123063	ZMAT1	zinc finger matrin-type 1	-1.543	2.746
123084	CYP4X1	cytochrome P450 family 4 subfamily X member 1	1.927	3.093
123119	TGS1	trimethylguanosine synthase 1	1.218	3.657
123154	CD48	CD48 molecule	-0.976	2.728
123176	PFDN4	prefoldin subunit 4	0.936	3.335
123185	TNXB	tenascin XB	-2.555	4.252
123195	TLCD1	TLC domain containing 1	1.015	3.362
123235	SOX5	SRY-box 5	-1.083	2.629
123368	ASAP3	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3	-1.043	3.022
123381	IGF1	insulin like growth factor 1	-1.992	3.651
123400	CDK1	cyclin dependent kinase 1	1.42	2.479
123490	PRR11	proline rich 11	1.269	2.74
123527			0.539	2.577
123584	TOMM20	translocase of outer mitochondrial membrane 20	0.949	3.177
123611			-0.845	2.79
123614			0.47	2.717
123636	COX7B	cytochrome c oxidase subunit 7B	-0.604	3.245
123641	IRAK1	interleukin 1 receptor associated kinase 1	0.965	3.103
123731	ZG16	zymogen granule protein 16	-4.1	4.58
123798			-0.685	3.167
123816			-1.367	3.744
123823	NAA15	N(alpha)-acetyltransferase 15, NatA auxiliary subunit	0.705	3.505
123825	UGDH	UDP-glucose 6-dehydrogenase	-0.998	2.893
123867	KIAA0408	KIAA0408	-1.571	4.03
123894	NIFK	nucleolar protein interacting with the FHA domain of MKI67	0.912	3.078
124143			0.776	3.509
124281	CNPY3	canopy FGF signaling regulator 3	0.678	2.59
124299	ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide	-2.641	4.914
124360	STBD1	starch binding domain 1	-0.989	3.512
124368	EPB41L2	erythrocyte membrane protein band 4.1 like 2	0.773	2.704
124383	PROX1	prospero homeobox 1	1.248	3.777
124452			0.578	2.918
124473	AQP7	aquaporin 7	-1.153	2.604
124500	CENPH	centromere protein H	0.99	2.697
124545	PRMT7	protein arginine methyltransferase 7	0.857	2.948
124573			-0.98	2.442
124733	STAMBPL1	STAM binding protein like 1	1.06	3.276
124735	FARSB	phenylalanyl-tRNA synthetase beta subunit	0.69	2.807
124823	POLB	DNA polymerase beta	0.853	4.664
124849	HNRNPA1	heterogeneous nuclear ribonucleoprotein A1	0.484	2.532
124907			2.178	4.995
124921	TAF1B	TATA-box binding protein associated factor, RNA polymerase I subunit B	0.938	3.251
124938	UBAP2L	ubiquitin associated protein 2 like	0.78	2.456
124953	RCAN1	regulator of calcineurin 1	-0.926	2.91
125000	GTF3C3	general transcription factor IIIC subunit 3	0.731	3.077
125084	RIMKLB	ribosomal modification protein rimK like family member B	-1.159	2.69
125102			-1.549	4.659
125148	ARHGEF39	Rho guanine nucleotide exchange factor 39	-2.076	7.323
125201	USP39	ubiquitin specific peptidase 39	0.504	2.56
125377	MCM2	minichromosome maintenance complex component 2	0.704	2.446
125486	HSD11B2	hydroxysteroid 11-beta dehydrogenase 2	-1.797	4.773
125566	LY6G6D	lymphocyte antigen 6 complex, locus G6D	2.914	3.101
125800	PLCD1	phospholipase C delta 1	-1.677	5.587
125804	NDUFAF2	NADH:ubiquinone oxidoreductase complex assembly factor 2	0.713	2.827
125903			0.772	3.645
125958			0.52	2.455
125973			0.834	3.317
126012			-0.827	2.768
126066	LGI4	leucine rich repeat LGI family member 4	-1.422	3.579
126099	ACAA1	acetyl-CoA acyltransferase 1	-0.951	4.226
126166	FXYD3	FXYD domain containing ion transport regulator 3	-1.662	4.609
126204	GNPDA1	glucosamine-6-phosphate deaminase 1	0.884	3.201
126221			-2.896	3.511
126252	PTRH1	peptidyl-tRNA hydrolase 1 homolog	0.806	2.516
126445			-3.057	3.449
126517	NOTCH1	notch 1	1.284	4.396
126530	DDX21	DEAD-box helicase 21	1.123	4.202
126632	BRINP3	BMP/retinoic acid inducible neural specific 3	-2.017	3.3
126675	ATP6V1D	ATPase H+ transporting V1 subunit D	-0.514	2.465
126682	RCN1	reticulocalbin 1	0.959	5.076
126779			0.779	3.622
126792			-0.838	3.079
126829	TRIM17	tripartite motif containing 17	0.928	2.62
126843	INSL5	insulin like 5	-5.082	6.289
126866			1.762	3.097
126905	SLC31A2	solute carrier family 31 member 2	-0.839	2.616
126954	MICALCL	MICAL C-terminal like	-1.119	3.261
127024			0.646	2.476
127035	RPIA	ribose 5-phosphate isomerase A	0.608	3.13
127041	CARD14	caspase recruitment domain family member 14	-5.001	7.722
127059	PRKAG1	protein kinase AMP-activated non-catalytic subunit gamma 1	0.55	2.574
127182	NPM1	nucleophosmin	1.177	4.015
127242	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	1.367	3.446
127270	CHRNA5	cholinergic receptor nicotinic alpha 5 subunit	1.952	6.788
127379	DPY30	dpy-30, histone methyltransferase complex regulatory subunit	0.529	3.153
127432			-1.553	6.325
127443			0.697	3.198
127488	PLEKHS1	pleckstrin homology domain containing S1	2.176	3.373
127498	EFHC2	EF-hand domain containing 2	-1.325	3.968
127566	LDHD	lactate dehydrogenase D	-1.985	4.918
127594	FGL2	fibrinogen like 2	-1.255	3.81
127600	FNBP1	formin binding protein 1	-1.038	3.655
127619	CAPN13	calpain 13	-1.525	3.062
127779	SERBP1	SERPINE1 mRNA binding protein 1	0.662	2.517
127899	POU2AF1	POU class 2 associating factor 1	-1.726	2.534
128091	LSAMP	limbic system-associated membrane protein	1.072	2.803
128154	MYL12B	myosin light chain 12B	-0.617	2.605
128174	CLU	clusterin	-1.622	2.988
128196			1.013	3.816
128231	B3GNT3	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3	-0.664	2.694
128236			0.588	3.228
128262	SPTSSA	serine palmitoyltransferase small subunit A	-0.657	2.443
128289	TMEM164	transmembrane protein 164	-0.741	3.583
128365			1.012	3.623
128405			-1.263	2.9
128411	CENPA	centromere protein A	1.445	2.5
